機種名,台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
新ハナビ,483,"4,227","-2,300",6,9,1/281.8,1/704.5,1/469.7
新ハナビ,484,"5,051",0,18,13,1/162.9,1/280.6,1/388.5
新ハナビ,485,"2,089",-800,7,1,1/261.1,1/298.4,1/2089.0
新ハナビ,486,"4,148",-100,12,12,1/172.8,1/345.7,1/345.7
バーサスリヴァイズ,487,"6,733",+300,24,15,1/172.6,1/280.5,1/448.9
バーサスリヴァイズ,488,"4,286",+100,15,11,1/164.8,1/285.7,1/389.6
バーサスリヴァイズ,489,"2,416","-1,100",5,3,1/302.0,1/483.2,1/805.3
忍者じゃじゃ丸くん,490,80,+700,3,2,1/16.0,1/26.7,1/40.0
交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE‐ART,491,"5,397",+300,27,37,1/84.3,1/199.9,1/145.9
ダンジョンに出会いを求めるのは間違っているだろうか2,492,"6,279","+1,200",35,128,1/38.5,1/179.4,1/49.1
ダンジョンに出会いを求めるのは間違っているだろうか2,493,"3,542",-400,19,55,1/47.9,1/186.4,1/64.4
ダンジョンに出会いを求めるのは間違っているだろうか2,494,"6,221","-1,800",28,83,1/56.0,1/222.2,1/75.0
甲鉄城のカバネリ,495,"3,078","+3,400",56,18,1/41.6,1/55.0,1/171.0
甲鉄城のカバネリ,496,"4,152","+1,500",56,21,1/53.9,1/74.1,1/197.7
甲鉄城のカバネリ,497,"2,113","-2,100",9,8,1/124.3,1/234.8,1/264.1
甲鉄城のカバネリ,498,"4,004",+800,49,17,1/60.7,1/81.7,1/235.5
甲鉄城のカバネリ,499,"4,049","-3,100",20,14,1/119.1,1/202.4,1/289.2
甲鉄城のカバネリ,500,"3,879",-600,34,17,1/76.1,1/114.1,1/228.2
戦国乙女4 戦乱に閃く炯眼の軍師,502,"4,522","-2,400",17,12,1/155.9,1/266.0,1/376.8
戦国乙女4 戦乱に閃く炯眼の軍師,503,"4,612","-1,200",15,9,1/192.2,1/307.5,1/512.4
戦国乙女4 戦乱に閃く炯眼の軍師,504,"4,119",-200,17,12,1/142.0,1/242.3,1/343.2
戦国乙女4 戦乱に閃く炯眼の軍師,505,"6,664","+1,200",29,25,1/123.4,1/229.8,1/266.6
戦国乙女4 戦乱に閃く炯眼の軍師,506,"3,456",-100,14,4,1/192.0,1/246.9,1/864.0
戦国乙女4 戦乱に閃く炯眼の軍師,507,"6,205","+2,800",32,25,1/108.9,1/193.9,1/248.2
モンキーターンV,508,"3,593","+1,400",46,11,1/63.0,1/78.1,1/326.6
モンキーターンV,509,"5,525","-3,400",45,15,1/92.1,1/122.8,1/368.3
モンキーターンV,510,"4,337","-2,600",33,15,1/90.4,1/131.4,1/289.1
モンキーターンV,511,"4,270","+6,000",76,22,1/43.6,1/56.2,1/194.1
モンキーターンV,512,"3,561","+5,200",66,11,1/46.2,1/54.0,1/323.7
ゴールデンカムイ,513,"2,325",-800,15,8,1/101.1,1/155.0,1/290.6
ゴールデンカムイ,514,"4,132","+4,600",85,12,1/42.6,1/48.6,1/344.3
ゴールデンカムイ,515,"3,683","+6,200",93,11,1/35.4,1/39.6,1/334.8
吉宗RISING,516,0,0,0,0,1/0.0,1/0.0,1/0.0
吉宗RISING,517,"1,102","+1,000",15,0,1/73.5,1/73.5,1/0.0
吉宗RISING,518,"1,828","+3,200",40,3,1/42.5,1/45.7,1/609.3
吉宗RISING,519,557,-400,3,1,1/139.2,1/185.7,1/557.0
ストライク・ザ・ブラッド,522,"3,755",+100,89,59,1/25.4,1/42.2,1/63.6
ゴブリンスレイヤー,523,"3,152","-1,500",12,0,1/262.7,1/262.7,1/0.0
主役は銭形4,524,"2,686","-3,200",6,4,1/268.6,1/447.7,1/671.5
主役は銭形4,525,"1,789","-1,600",6,4,1/178.9,1/298.2,1/447.2
主役は銭形4,526,"3,724","-2,900",15,8,1/161.9,1/248.3,1/465.5
主役は銭形4,527,"3,238","-2,400",12,5,1/190.5,1/269.8,1/647.6
革命機ヴァルヴレイヴ,528,"5,160","-4,600",18,4,1/234.5,1/286.7,1/1290.0
革命機ヴァルヴレイヴ,529,960,"+3,500",33,1,1/28.2,1/29.1,1/960.0
革命機ヴァルヴレイヴ,530,"4,653",-300,36,3,1/119.3,1/129.2,1/1551.0
革命機ヴァルヴレイヴ,531,"6,076","+1,100",55,6,1/99.6,1/110.5,1/1012.7
革命機ヴァルヴレイヴ,532,"3,753",-300,17,1,1/208.5,1/220.8,1/3753.0
からくりサーカス,533,"5,192",+100,70,19,1/58.3,1/74.2,1/273.3
からくりサーカス,534,"5,454",+700,78,24,1/53.5,1/69.9,1/227.2
からくりサーカス,535,"5,291","+9,400",113,21,1/39.5,1/46.8,1/252.0
からくりサーカス,536,"4,500","-4,300",27,10,1/121.6,1/166.7,1/450.0
からくりサーカス,537,"6,317","-2,000",77,20,1/65.1,1/82.0,1/315.9
からくりサーカス,538,"3,992","+2,100",62,12,1/53.9,1/64.4,1/332.7
からくりサーカス,539,"4,165","+1,800",66,16,1/50.8,1/63.1,1/260.3
甲鉄城のカバネリ,541,"4,216","+3,100",61,22,1/50.8,1/69.1,1/191.6
