機種名,台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率,date,合成確率_rank
マイジャグラーV,682,"6,753",2500,31,30,0.009033423667570008,1/217.8,1/225.1,2024-05-14,6
マイジャグラーV,682,"7,194",-900,25,18,0.005977286312014345,1/287.8,1/399.7,2024-03-17,1
マイジャグラーV,682,"6,891",-500,24,21,0.006531678641410843,1/287.1,1/328.1,2023-07-26,3
マイジャグラーV,682,"5,099",-1500,10,16,0.005099439061703213,1/509.9,1/318.7,2024-03-16,1
マイジャグラーV,682,"8,107",600,30,29,0.00727802037845706,1/270.2,1/279.6,2023-07-27,4
マイジャグラーV,682,"4,019",-200,15,7,0.005473453749315818,1/267.9,1/574.1,2023-07-28,1
マイジャグラーV,682,"8,529",2800,42,25,0.007855459544383346,1/203.1,1/341.2,2024-03-15,5
マイジャグラーV,682,"4,691",-2100,9,12,0.004476275738585497,1/521.2,1/390.9,2023-07-29,1
マイジャグラーV,682,"8,131",1500,32,34,0.008116883116883116,1/254.1,1/239.1,2024-03-14,5
マイジャグラーV,682,"6,727",300,27,21,0.007137758743754462,1/249.1,1/320.3,2023-07-25,4
マイジャグラーV,682,"6,579",0,26,13,0.005927682276229995,1/253.0,1/506.1,2023-07-30,1
マイジャグラーV,682,"2,289",-1100,4,3,0.0030581039755351682,1/572.2,1/763.0,2024-03-13,1
マイジャグラーV,682,"6,048",-400,19,19,0.00628140703517588,1/318.3,1/318.3,2023-08-01,2
マイジャグラーV,682,"5,196",100,20,15,0.006734006734006734,1/259.8,1/346.4,2023-08-02,3
マイジャグラーV,682,"3,781",-1900,8,9,0.0044964028776978415,1/472.6,1/420.1,2024-03-12,1
マイジャグラーV,682,"4,830",-900,15,12,0.005589714924538848,1/322.0,1/402.5,2023-08-03,1
マイジャグラーV,682,"6,199",-300,22,17,0.006293266205160478,1/281.8,1/364.6,2024-03-11,2
マイジャグラーV,682,"4,759",-400,18,9,0.005672149744753261,1/264.4,1/528.8,2023-08-04,1
マイジャグラーV,682,"8,789",1500,37,28,0.007396449704142012,1/237.5,1/313.9,2023-08-05,4
マイジャグラーV,682,"5,806",-200,18,22,0.006887052341597796,1/322.6,1/263.9,2023-07-31,3
マイジャグラーV,682,"7,356",-2700,21,14,0.004757373929590866,1/350.3,1/525.4,2024-03-10,1
マイジャグラーV,682,"7,913",2500,37,26,0.007961783439490446,1/213.9,1/304.3,2024-03-18,5
マイジャグラーV,682,"6,440",400,24,26,0.007763975155279502,1/268.3,1/247.7,2023-07-23,5
マイジャグラーV,682,"5,429",-200,19,17,0.00663129973474801,1/285.7,1/319.4,2023-07-13,3
マイジャグラーV,682,"5,669",-1300,15,14,0.005115089514066497,1/377.9,1/404.9,2024-03-25,1
マイジャグラーV,682,"6,564",0,22,22,0.006702412868632708,1/298.4,1/298.4,2023-07-14,3
マイジャグラーV,682,"4,583",-900,15,12,0.0058927519151443725,1/305.5,1/381.9,2024-03-24,1
マイジャグラーV,682,"5,390",-200,20,11,0.005750431282346175,1/269.5,1/490.0,2023-07-15,1
マイジャグラーV,682,"8,234",1600,38,24,0.00753012048192771,1/216.7,1/343.1,2023-07-16,4
マイジャグラーV,682,"6,901",1300,32,19,0.007390983000739097,1/215.7,1/363.2,2024-03-23,4
マイジャグラーV,682,"8,052",2600,44,17,0.007575757575757576,1/183.0,1/473.6,2023-07-17,4
マイジャグラーV,682,"3,901",1300,18,17,0.008968609865470852,1/216.7,1/229.5,2023-07-24,6
マイジャグラーV,682,"5,023",-700,18,11,0.005773672055427252,1/279.1,1/456.6,2023-07-18,1
マイジャグラーV,682,"5,732",-100,23,14,0.006455777921239509,1/249.2,1/409.4,2023-07-19,2
マイジャグラーV,682,"7,040",-900,24,17,0.005824111822947001,1/293.3,1/414.1,2024-03-21,1
